 Test F_43
 
 Function table Test_43 :
 217   (   10,8500000000,    2,9393950902   )
 218   (   10,9000000000,    2,9921387607   )
 219   (   10,9500000000,    2,9951826330   )
 220   (   11,0000000000,    2,9484507686   )
 221   (   11,0500000000,    2,8531090323   )
 222   (   11,1000000000,    2,7115360059   )
 223   (   11,1500000000,    2,5272636475   )
 224   (   11,2000000000,    2,3048891767   )
 225   (   11,2500000000,    2,0499603828   )
 226   (   11,3000000000,    1,7688372192   )
 227   (   11,3500000000,    1,4685331353   )
 228   (   11,4000000000,    1,1565401055   )
 229   (   11,4500000000,    0,8406417194   )
 230   (   11,5000000000,    0,5287189974   )
 231   (   11,5500000000,    0,2285537749   )
 232   (   11,6000000000,   -0,0523654380   )
 233   (   11,6500000000,   -0,3070302800   )
 234   (   11,7000000000,   -0,5290873827   )
 235   (   11,7500000000,   -0,7129968746   )
 236   (   11,8000000000,   -0,8541705888   )
 237   (   11,8500000000,   -0,9490865293   )
 238   (   11,9000000000,   -0,9953767369   )
 239   (   11,9500000000,   -0,9918863654   )
 240   (   12,0000000000,   -0,9387024924   )
 241   (   12,0500000000,   -0,8371519471   )
 242   (   12,1000000000,   -0,6897682085   )
 243   (   12,1500000000,   -0,5002282000   )
 244   (   12,2000000000,   -0,2732605584   )
 245   (   12,2500000000,   -0,0145276632   )
 246   (   12,3000000000,    0,2695156275   )
 247   (   12,3500000000,    0,5717830133   )
 248   (   12,4000000000,    0,8847335393   )
 249   (   12,4500000000,    1,2005597283   )
 250   (   12,5000000000,    1,5113823613   )
 251   (   12,5500000000,    1,8094470475   )
 252   (   12,6000000000,    2,0873176812   )
 253   (   12,6500000000,    2,3380619567   )
 254   (   12,7000000000,    2,5554243161   )
 255   (   12,7500000000,    2,7339820117   )
 256   (   12,8000000000,    2,8692803934   )
 257   (   12,8500000000,    2,9579440424   )
 258   (   12,9000000000,    2,9977609818   )
 259   (   12,9500000000,    2,9877378600   )
 260   (   13,0000000000,    2,9281247334   )
 261   (   13,0500000000,    2,8204088281   )
 262   (   13,1000000000,    2,6672774360   )
 263   (   13,1500000000,    2,4725508730   )
 264   (   13,2000000000,    2,2410871697   )
 265   (   13,2500000000,    1,9786608733   )
 266   (   13,3000000000,    1,6918189845   )
 267   (   13,3500000000,    1,3877176233   )
 268   (   13,4000000000,    1,0739434983   )
 269   (   13,4500000000,    0,7583246339   )
 270   (   13,5000000000,    0,4487350769   )
 271   (   13,5500000000,    0,1528984552   )
 272   (   13,6000000000,   -0,1218047111   )
 273   (   13,6500000000,   -0,3685211382   )
 274   (   13,7000000000,   -0,5810957547   )
 275   (   13,7500000000,   -0,7542252574   )
 276   (   13,8000000000,   -0,8835904185   )
 277   (   13,8500000000,   -0,9659638411   )
 278   (   13,9000000000,   -0,9992904763   )
 279   (   13,9500000000,   -0,9827388926   )
 280   (   14,0000000000,   -0,9167220182   )
 281   (   14,0500000000,   -0,8028868394   )
 282   (   14,1000000000,   -0,6440733118   )
 283   (   14,1500000000,   -0,4442435090   )
 284   (   14,2000000000,   -0,2083827767   )
 285   (   14,2500000000,    0,0576246408   )
 286   (   14,3000000000,    0,3471424011   )
 287   (   14,3500000000,    0,6529476267   )
 288   (   14,4000000000,    0,9674111010   )
 289   (   14,4500000000,    1,2826876019   )
 290   (   14,5000000000,    1,5909116238   )
 291   (   14,5500000000,    1,8843936061   )
 292   (   14,6000000000,    2,1558117721   )
 293   (   14,6500000000,    2,3983947921   )
 294   (   14,7000000000,    2,6060907147   )
 295   (   14,7500000000,    2,7737179504   )
 296   (   14,8000000000,    2,8970945415   )
 297   (   14,8500000000,    2,9731424937   )
 298   (   14,9000000000,    2,9999645659   )
 299   (   14,9500000000,    2,9768916019   )
 300   (   15,0000000000,    2,9044992252   )

 x = [   0,000000000000 :  15,000000000000 ]
 x_Reg =    15,000000000000

 Min (    0,000000000000,   -2,000000000000)
 Max (   14,900000000000,    2,999964565856)
 f_Reg =     4,999964565856

 Table of zeros of function Test_43 : 
  0  [   0,40000,   0,45000 ] Root =   0,431934615246  Err =  1,0E-012 Iters = 36
  1  [   1,60000,   1,65000 ] Root =   1,642743997228  Err =  1,0E-012 Iters = 35
  2  [   2,30000,   2,35000 ] Root =   2,321541775472  Err =  1,0E-012 Iters = 37
  3  [   3,60000,   3,65000 ] Root =   3,642432159058  Err =  1,0E-012 Iters = 37
  4  [   4,30000,   4,35000 ] Root =   4,305054782074  Err =  1,0E-012 Iters = 36
  5  [   5,60000,   5,65000 ] Root =   5,629595311224  Err =  1,0E-012 Iters = 37
  6  [   6,25000,   6,30000 ] Root =   6,291907153042  Err =  1,0E-012 Iters = 37
  7  [   7,60000,   7,65000 ] Root =   7,616517581963  Err =  1,0E-012 Iters = 37
  8  [   8,25000,   8,30000 ] Root =   8,278823578358  Err =  1,0E-012 Iters = 22
  9  [   9,60000,   9,65000 ] Root =   9,603435321939  Err =  1,0E-012 Iters = 35
 10  [  10,25000,  10,30000 ] Root =  10,265741208432  Err =  1,0E-012 Iters = 37
 11  [  11,55000,  11,60000 ] Root =  11,590352976731  Err =  1,0E-012 Iters = 37
 12  [  12,25000,  12,30000 ] Root =  12,252658861157  Err =  1,0E-012 Iters = 34
 13  [  13,55000,  13,60000 ] Root =  13,577270629921  Err =  1,0E-012 Iters = 37
 14  [  14,20000,  14,25000 ] Root =  14,239576514308  Err =  1,0E-012 Iters = 37
